"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Akr1a1",21154.8892530753,-1.42906627752843,0.137722837627133,-3.11543303144884,0.00183675050141642,0.0216836275625713
"Akr1b8",398.749464768321,4.23174435306682,0.238875500571493,13.5289903959808,1.05462081189728e-41,2.29215974461363e-38
"Akr1c21",8703.35927385916,-2.28916803805274,0.348368375510888,-3.70058859723461,0.000215099962109202,0.0033052398733842
"Akr7a5",3209.82541246266,-1.65480785334075,0.200159797072618,-3.27142544565625,0.00107006798431862,0.0135596109051203
"Alb",141.529916901224,-3.29393274054288,0.408314517092222,-5.61805334985133,1.93120875620009e-08,7.14109158412663e-07
"Aldh18a1",257.815762733084,1.71306032552194,0.186354279040645,3.82636947856947,0.000130047052543746,0.00211987532900684
"Aldh1a2",1038.82692702087,3.17844964092607,0.245953295692015,8.85716792205113,8.20728558269845e-19,1.60542713283164e-16
"Aldh1a3",55.8031307709067,1.7075763774205,0.234599911017403,3.01609823444481,0.00256050291556928,0.0289651170055888
"Aldh1l1",7832.08661904501,-2.15779898693807,0.211571658861354,-5.47237277983814,4.44049521409391e-08,1.54831598721731e-06
"Aldh2",10312.3141162858,-1.44945550655936,0.154974363566386,-2.90019262680713,0.00372933400655507,0.0399723301382047
"Aldh3b3",25.6779690197341,-2.58005762762873,0.551741854169786,-2.86376249270824,0.00418641784420294,0.0439562637951979
"Aldh4a1",8227.35377626078,-1.74490562194756,0.218215575511561,-3.41362260783304,0.000641053068272158,0.00868396057373385
"Aldh6a1",9458.83688375527,-2.05275410892369,0.238686566703327,-4.41061314620274,1.03078327909546e-05,0.000217509727318082
"Aldh8a1",3371.98756251456,-2.07678505759577,0.25580234339041,-4.20944172490383,2.56002458784872e-05,0.000498275034456803
"Aldh9a1",4754.04211812733,-1.51221443130107,0.179075300838797,-2.86032986627318,0.00423200559159355,0.0443872715159042
"Aldob",59992.9952288911,-1.85858229548442,0.270807257182595,-3.17045526924529,0.00152200264169175,0.0183211653379276
"Alkal2",3.18534294497708,-2.84636340924835,0.616770127547093,-2.99360057626554,0.00275706621097933,0.0307298986626591
"Alms1-ps2",26.7349890914084,-2.43456628990128,0.470435042268108,-3.04944606801569,0.00229263792741472,0.0263491718555578
